,photo,22. 5. 23,23. 5. 23,24. 5. 23,25. 5. 23,26. 5. 23,27. 5. 23,28. 5. 23,29. 5. 23,30. 5. 23,31. 5. 23,1. 6. 23,2. 6. 23,3. 6. 23,4. 6. 23,5. 6. 23,6. 6. 23,7. 6. 23,8. 6. 23,9. 6. 23,10. 6. 23,11. 6. 23,12. 6. 23,13. 6. 23,14. 6. 23,15. 6. 23,16. 6. 23,17. 6. 23,18. 6. 23,19. 6. 23,20. 6. 23,21. 6. 23,22. 6. 23,23. 6. 23,24. 6. 23,25. 6. 23,26. 6. 23,27. 6. 23,28. 6. 23,29. 6. 23,30. 6. 23,1. 7. 23,2. 7. 23,3. 7. 23,4. 7. 23,5. 7. 23,6. 7. 23,7. 7. 23,8. 7. 23,9. 7. 23,10. 7. 23,11. 7. 23,12. 7. 23,13. 7. 23,14. 7. 23,15. 7. 23,16. 7. 23,17. 7. 23,18. 7. 23,19. 7. 23,20. 7. 23,21. 7. 23,22. 7. 23,23. 7. 23,24. 7. 23,25. 7. 23,26. 7. 23,27. 7. 23,28. 7. 23,29. 7. 23,30. 7. 23,31. 7. 23,1. 8. 23,2. 8. 23,3. 8. 23,4. 8. 23,5. 8. 23,6. 8. 23,7. 8. 23,9. 8. 23,10. 8. 23,11. 8. 23,12. 8. 23,13. 8. 23,14. 8. 23,15. 8. 23,16. 8. 23,18. 8. 23,19. 8. 23,21. 8. 23,22. 8. 23
Fico Robert,,33.5,32.7,33.0,33.5,33.5,33.6,33.3,33.6,33.6,33.6,33.6,33.5,32.8,32.3,32.1,32.1,32.0,31.9,31.6,31.8,31.8,31.8,31.8,31.5,31.5,32.1,32.1,32.4,30.8,31.0,30.4,30.4,30.5,30.5,30.5,30.5,30.5,30.6,29.6,29.1,29.0,28.9,28.9,28.8,28.8,28.7,28.7,28.8,28.8,29.0,29.1,29.1,29.2,31.0,31.7,31.7,32.0,32.0,32.0,32.0,32.0,32.5,33.0,33.0,33.1,33.2,34.0,34.0,34.0,34.0,34.0,34.4,34.4,34.4,35.3,35.3,35.3,38.1,40.8,41.8,43.3,43.3,43.3,42.8,42.8,43.1,42.9,42.4,42.3,42.3
Šimečka Michal,,18.4,19.1,20.6,21.9,25.5,25.6,24.7,25.6,25.6,25.6,25.6,25.8,29.3,30.4,29.6,30.9,31.1,31.2,30.4,31.2,31.2,31.2,31.2,30.9,30.9,31.5,31.5,31.2,32.1,32.5,34.1,34.1,34.2,34.2,34.2,34.2,34.2,34.4,33.7,33.0,32.7,32.4,32.2,32.0,32.0,31.6,31.6,31.7,31.7,31.8,31.7,31.7,31.3,31.8,31.7,31.7,31.8,31.8,31.8,31.8,31.8,32.1,32.7,33.1,32.8,32.7,32.8,32.8,32.8,32.8,32.8,32.7,32.7,32.7,32.3,32.3,32.3,31.2,31.6,31.6,31.3,31.3,31.3,33.6,33.6,33.2,33.7,34.9,35.1,35.1
Pellegrini Peter,,36.8,36.8,34.7,33.5,30.3,30.5,31.9,30.5,30.5,30.5,30.5,30.3,28.7,27.3,28.0,28.1,28.2,28.2,28.2,28.2,28.2,28.2,28.2,27.9,27.9,28.0,28.0,28.0,28.9,28.3,28.3,28.3,28.4,28.4,28.4,28.4,28.4,27.5,29.1,31.5,31.8,32.2,32.4,32.6,32.6,33.2,33.2,33.3,33.3,34.0,34.5,34.5,35.0,34.1,33.5,33.5,33.2,33.2,33.2,33.2,33.2,32.5,31.5,31.1,31.2,31.3,31.7,31.7,31.7,31.7,31.7,31.6,31.6,31.6,31.2,31.2,31.2,29.7,27.5,26.6,25.4,25.4,25.4,23.5,23.5,23.7,23.3,22.7,22.7,22.7
Kollár Boris,,4.9,4.9,6.2,6.3,6.1,5.8,5.1,5.8,5.8,5.8,5.8,5.8,5.5,5.4,5.1,5.3,5.3,5.4,5.3,5.4,5.4,5.4,5.4,5.3,5.3,5.1,5.1,5.1,5.0,4.7,4.2,4.2,3.8,3.8,3.8,3.8,3.8,4.1,4.2,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.4,3.4,2.8,2.5,2.5,2.3,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.7,1.7,1.7,1.7,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.2,1.2,1.2,1.0,,,,,,,,,,,,
