agentura,strana,logo,02/20,03/20,04/20,05/20,06/20,07/20,08/20,09/20,10/20,11/20,12/20,01/21,02/21,03/21,04/21,05/21,06/21,07/21,08/21,09/21,10/21,11/21,12/21,01/22,02/22,03/22,04/22,05/22,06/22,07/22,08/22,09/22,10/22,11/22,12/22,01/23,02/23,03/23
,SMER-SD,https://d39-a.sdn.cz/d_39/c_img_QK_Z/KCLCh.png,"18,3","20,0","20,1","19,5","17,0","12,7","10,7","9,5","9,0","8,8","8,9","8,8","9,1","9,6","10,3","11,1","11,7","12,0","12,9","14,1","15,0","14,6","14,6","15,0","15,1","14,9","14,7","14,5","14,7","14,9","15,1","15,4","15,6","15,9","16,3","16,7","17,5","18,0"
,HLAS-SD,https://d39-a.sdn.cz/d_39/c_img_QK_Z/giOCj.png,,,,,,"12,1","15,8","18,2","20,4","21,0","21,8","22,4","22,9","23,1","22,8","22,3","21,6","20,7","19,6","19,1","19,3","18,9","18,3","17,4","17,5","18,1","18,8","19,4","19,7","19,4","19,1","19,2","19,4","19,3","19,0","18,2","17,6","16,7"
,PS,https://d39-a.sdn.cz/d_39/c_img_QQ_a/71DCM.png,"7,0","6,7","6,9","6,6","6,4","6,0","5,8","5,7","5,8","5,9","6,0","6,0","6,5","7,0","7,3","7,4","7,6","7,9","8,1","7,9","7,5","8,0","8,4","8,8","8,9","8,7","8,8","9,3","9,6","10,0","10,4","10,6","10,9","11,2","11,8","11,8","11,9","12,4"
,SaS,https://d39-a.sdn.cz/d_39/c_img_QM_Y/tI7Cd.png,"6,2","7,2","8,2","8,8","9,3","9,7","10,5","11,5","12,3","13,1","14,1","13,8","13,5","12,9","12,7","12,9","13,1","13,4","13,5","13,2","12,6","12,7","13,0","13,0","12,9","12,9","12,8","12,8","12,4","12,4","11,7","10,4","9,5","8,6","7,7","7,4","7,2","6,8"
,SME Rodina,https://d39-a.sdn.cz/d_39/c_img_QO_Z/ohVCf.png,"8,2","9,8","10,0","9,9","9,7","8,6","8,5","7,9","7,2","6,3","5,8","5,7","5,8","6,7","7,2","7,2","7,2","7,2","7,0","7,1","7,3","6,8","6,5","6,3","6,3","6,5","6,5","6,3","6,4","6,5","6,8","7,2","7,3","7,2","7,4","7,7","7,5","7,3"
,Republika,https://d39-a.sdn.cz/d_39/c_img_gS_f/llQFh.png,,,,,,,,,,,,,,"2,0","3,3","3,9","4,1","4,4","5,0","5,4","5,5","5,9","6,1","6,4","6,3","6,3","6,3","6,3","6,2","6,2","6,3","6,6","6,8","6,9","7,3","7,2","7,4","8,0"
,OĽaNO,https://d39-a.sdn.cz/d_39/c_img_QL_c/tUMCU.png,"25,0","25,0","25,6","24,1","22,8","21,4","19,2","17,6","16,2","15,0","13,8","13,2","12,3","11,2","10,1","9,3","9,0","9,0","9,1","8,9","8,4","8,6","8,7","8,6","8,3","8,6","8,7","8,9","8,3","8,3","8,0","7,8","7,7","7,5","7,4","7,5","7,1","6,1"
,KDH,https://d39-a.sdn.cz/d_39/c_img_QO_Z/QJnDA.png,"4,7","4,3","4,2","4,3","4,1","4,0","4,2","4,3","4,4","4,6","4,7","4,5","4,8","5,1","5,2","5,5","5,7","6,0","6,1","6,1","6,0","5,9","6,0","6,0","6,3","6,5","6,7","6,9","6,8","6,7","6,6","6,4","6,3","6,4","6,2","6,2","6,3","6,2"
,SNS,https://d39-a.sdn.cz/d_39/c_img_QM_Y/ArzCf.png,"3,2","2,4","1,8","1,9","2,2","2,4","2,4","2,1","1,9","1,9","1,7","1,9","2,3","2,8","3,0","2,9","3,2","3,3","3,4","3,5","3,4","3,5","3,5","3,5","3,5","3,7","3,8","3,9","3,9","3,7","3,6","3,6","3,5","3,4","3,1","3,2","3,4","3,3"
,ĽSNS,https://d39-a.sdn.cz/d_39/c_img_QO_Z/5oTCe.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Za ľudí,,"5,8","4,7","4,0","4,1","4,1","4,1","4,0","4,0","4,0","4,1","4,3","4,6","4,8","4,4","4,2","3,8","3,5","3,1","2,7","2,3","2,5","2,4","2,4","2,6","2,7","2,5","2,4","2,4","2,4","2,4","2,3","2,2","2,2","2,3","2,2","2,2","2,1","2,1"
