name,probability
PS + SaS + OĽaNO + SME Rodina + KDH + Demokrati,19.0
PS + SaS + OĽaNO + SME Rodina + KDH + Demokrati + HLAS-SD,98.4
PS + SaS + SME Rodina + KDH + Demokrati + HLAS-SD,81.1
PS + SaS + KDH + HLAS-SD,54.1
PS + SaS + OĽaNO + KDH + Demokrati + HLAS-SD,90.8
PS + SaS + OĽaNO + SME Rodina + Demokrati + HLAS-SD,66.6
SMER-SD + HLAS-SD + SNS,17.0
SMER-SD + HLAS-SD + SNS + KDH,58.8
SMER-SD + HLAS-SD + SNS + Republika,76.7
SMER-SD + SNS + Republika,0.5
