agentura,strana,logo
,SMER-SD,https://d39-a.sdn.cz/d_39/c_img_QK_Z/KCLCh.png
,HLAS-SD,https://d39-a.sdn.cz/d_39/c_img_QK_Z/giOCj.png
,PS,https://d39-a.sdn.cz/d_39/c_img_QQ_a/71DCM.png
,SaS,https://d39-a.sdn.cz/d_39/c_img_QM_Y/tI7Cd.png
,SME Rodina,https://d39-a.sdn.cz/d_39/c_img_QO_Z/ohVCf.png
,Republika,https://d39-a.sdn.cz/d_39/c_img_gS_f/llQFh.png
,OĽaNO,https://d39-a.sdn.cz/d_39/c_img_QL_c/tUMCU.png
,KDH,https://d39-a.sdn.cz/d_39/c_img_QO_Z/QJnDA.png
,SNS,https://d39-a.sdn.cz/d_39/c_img_QM_Y/ArzCf.png
,ĽSNS,https://d39-a.sdn.cz/d_39/c_img_QO_Z/5oTCe.png
,Za ľudí,
